job_title|company_name|location|province|posted_at|python_yn|sql_yn|mysql_yn|postgresql_yn|database_yn|aws_yn|azure_yn|spark_yn|hadoop_yn|kafka_yn|snowflake_yn|databricks_yn|apache_yn|git_yn|github_yn|tableau_yn|power bi_yn|looker_yn|experience_needed_yn|min_salary|max_salary|avg_salary
Region Operations Planning & Analyst - ShopeeFood (Yogyakarta)|Shopee Internasional Indonesia|Yogyakarta, Yogyakarta Special Region|yogyakarta|2026-02-19 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Inventory Analyst|PT Jabil Circuit Indonesia|Bandung, West Java|west java|2026-03-17 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
DIGITAL BUSINESS ANALYST|PT Ifabula Digital Kreasi|Jakarta|jakarta|2026-03-05 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|7000000.0|8000000.0|7500000.0
Marketing Analyst|PT Dipo Star Finance|Jakarta|jakarta|2026-03-05 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|5800000.0|7000000.0|6400000.0
Portfolio Revenue Analyst|IHG Hotels & Resorts|Jakarta|jakarta|2026-03-15 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|||
DATA ANALYST|PT Asuransi Jiwa Syariah Al Amin|Jakarta|jakarta|2026-03-05 01:00:00|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|6000000.0|6500000.0|6250000.0
Marketing Data Analyst|PT Atlas Petrochem Indo|Jakarta|jakarta|2026-03-14 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Data Analyst|PT. ALPEN FOOD INDUSTRY|North Jakarta, Jakarta|jakarta|2026-03-12 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Procurement Analyst|PT Graha Layar Prima|South Jakarta, Jakarta|jakarta|2026-03-14 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
SAC Data Analyst|ParagonCorp|Jakarta|jakarta|2026-03-17 11:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Analyst Logistic|PT. Transkon Jaya Tbk|Balikpapan, East Kalimantan|bali|2026-03-14 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Business Analyst Staff|Indofood Group|South Jakarta, Jakarta|jakarta|2026-03-10 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Analyst Intern|PT Pabrik Cat & Tinta Pacific (Pacific Paint)|Tangerang, Banten|banten|2026-02-22 01:00:00|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|0|1500000.0|2000000.0|1750000.0
Business Analyst - (Paid Intern)|PT INVESTASI HIJAU SELARAS|Kebayoran Baru, Jakarta|jakarta|2026-03-17 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2000000.0|2500000.0|2250000.0
Data Analyst (Market Insight)|PT Eigerindo Multi Produk Industri|Bandung Regency, West Java|west java|2026-03-12 01:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Data Analyst|PT. MAX AUTO INDONESIA|Semarang, Central Java|central java|2026-02-28 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Admin Data Analyst|PT Fullmoon Jaya Abadi|North Jakarta, Jakarta|jakarta|2026-03-07 01:00:00|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Search Engine Optimization (SEO) Analyst|CV POLAR GLOBAL|Central Java|central java|2026-03-14 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|4000000.0|4000000.0|4000000.0
Financial Analyst|PT Cipta Mandiri Wirasakti|Cileungsi, West Java|west java|2026-02-24 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|||
Business Analyst - (Full-time)|PT INVESTASI HIJAU SELARAS|Kebayoran Baru, Jakarta|jakarta|2026-03-11 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6000000.0|6000000.0|6000000.0
Credit Analyst|PT. MAX AUTO INDONESIA|Makassar, South Sulawesi|south sulawesi|2026-03-17 12:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
External Market Analyst|PT Mandiri Tunas Finance|Central Jakarta, Jakarta|jakarta|2026-02-26 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|1|||
